,Game,Viewers (in Millions),Year,id
0,CAR-ATL (72%),20.775,2017,0
1,CIN-BAL (31%),15.602,2017,1
2,CHI-MIN (61%),13.589,2017,2
3,Various,11.209,2017,3
0,SEA-DAL (87%),23.027,2017,4
1,PIT-HOU,16.918,2017,5
2,NE-BUF (42%),15.814,2017,6
3,MIN-GB,15.287,2017,7
4,ATL-NO (45%),12.405,2017,8
5,OAK-PHI,11.735,2017,9
6,IND-BAL,5.395,2017,10
0,NE-PIT (91%),26.883,2017,11
1,DAL-OAK,19.191,2017,12
2,GB-CAR,18.053,2017,13
3,DEN-IND,10.638,2017,14
4,Various,9.913,2017,15
5,ATL-TB,9.411,2017,16
6,LAC-KC,6.993,2017,17
7,CHI-DET,5.177,2017,18
0,PHI-LAR (90%),23.784,2017,19
1,BAL-PIT,17.2,2017,20
2,DAL-NYG (66%),15.543,2017,21
3,NO-ATL,14.606,2017,22
4,Various,13.886,2017,23
5,NE-MIA,11.782,2017,24
0,CAR-NO (72%),20.218,2017,25
1,PHI-SEA,19.693,2017,26
2,WSH-DAL,15.598,2017,27
3,Various,15.127,2017,28
4,MIN-ATL (62%),11.17,2017,29
5,PIT-CIN,10.844,2017,30
0,LAC-DAL,26.277,2017,31
1,MIN-DET,24.736,2017,32
2,NO-LAR (82%),19.901,2017,33
3,GB-PIT,18.954,2017,34
4,NYG-WSH,16.905,2017,35
5,CHI-PHI (44%),15.361,2017,36
6,Various,10.91,2017,37
7,HOU-BAL,8.27,2017,38
0,DAL-PHI,21.059,2017,39
1,NE-OAK (86%),19.026,2017,40
2,WSH-NO (33%),15.708,2017,41
3,TEN-PIT,13.513,2017,42
4,ATL-SEA,10.758,2017,43
5,KC-NYG (45%),10.709,2017,44
0,DAL-ATL (86%),21.963,2017,45
1,NE-DEN,17.51,2017,46
2,SEA-AZ,13.101,2017,47
3,MIN-WSH (45%),12.35,2017,48
4,Various,11.827,2017,49
5,MIA-CAR,8.758,2017,50
0,KC-DAL,21.681,2017,51
1,OAK-MIA,14.36,2017,52
2,ATL-CAR (37%),14.212,2017,53
3,Various,11.946,2017,54
4,DET-GB,11.083,2017,55
5,BUF-NYJ,5.844,2017,56
0,DAL-WSH,22.019,2017,57
1,LAC-NE (48%),15.159,2017,58
2,PIT-DET,13.862,2017,59
3,CHI-NO (50%),12.444,2017,60
4,MIA-BAL,11.363,2017,61
5,DEN-KC,10.42,2017,62
6,MIN-CLE,3.453,2017,63
0,CIN-PIT (63%),19.849,2017,64
1,ATL-NE,19.24,2017,65
2,DAL-SF (36%),16.124,2017,66
3,KC-OAK,14.378,2017,67
4,Various,13.363,2017,68
5,WSH-PHI,11.275,2017,69
0,PIT-KC (86%),20.593,2017,70
1,GB-MIN (40%),16.197,2017,71
2,NYG-DEN,16.158,2017,72
3,PHI-CAR,14.585,2017,73
4,Various,10.943,2017,74
5,IND-TEN,8.382,2017,75
0,GB-DAL,23.859,2017,76
1,KC-HOU,16.528,2017,77
2,NE-TB,15.434,2017,78
3,Various,13.18,2017,79
4,CAR-DET (50%),12.326,2017,80
5,MIN-CHI,10.281,2017,81
0,LAR-DAL (32%),20.056,2017,82
1,IND-SEA,16.731,2017,83
2,OAK-DEN,15.591,2017,84
3,CHI-GB,14.61,2017,85
4,WSH-KC,11.944,2017,86
5,Various,11.7,2017,87
6,NO-MIA,6.403,2017,88
0,CIN-GB (80%),21.272,2017,89
1,OAK-WSH,17.478,2017,90
2,NYG-PHI (41%),15.431,2017,91
3,Various,14.414,2017,92
4,DAL-AZ,13.691,2017,93
5,LAR-SF,7.448,2017,94
0,DAL-DEN (81%),25.969,2017,95
1,GB-ATL,20.237,2017,96
2,Various,14.515,2017,97
3,PHI-KC (52%),13.515,2017,98
4,DET-NYG,12.287,2017,99
5,HOU-CIN,8.08,2017,100
0,NYG-DAL,24.366,2017,101
1,SEA-GB (89%),22.796,2017,102
2,KC-NE,21.791,2017,103
3,Various,13.337,2017,104
4,NO-MIN,11.392,2017,105
5,PHI-WSH (51%),11.342,2017,106
6,LAC-DEN,9.938,2017,107
