,Game,Viewers (in Millions),Year,id
0,CHI-MIN (49%),21.21,2018,0
1,CLE-BAL (52%),16.77,2018,1
2,DAL-NYG (78%),16.6,2018,2
3,IND-TEN**,16.05,2018,3
4,Various,8.89,2018,4
0,PIT-NO,23.92,2018,5
1,KC-SEA,19.57,2018,6
2,TB-DAL (46%),16.33,2018,7
3,Various,14.48,2018,8
4,DEN-OAK,8.6,2018,9
5,BAL-LAC**,8.21,2018,10
6,WSH-TEN,6.19,2018,11
0,NE-PIT,24.57,2018,12
1,DAL-IND (46%),20.03,2018,13
2,PHI-LAR,18.12,2018,14
3,LAC-KC,17.35,2018,15
4,NO-CAR,13.01,2018,16
5,Various,11.05,2018,17
6,CLE-DEN,7.29,2018,18
7,HOU-NYJ,4.76,2018,19
0,PHI-DAL (84%),25.12,2018,20
1,LAR-CHI,19.39,2018,21
2,Various,16.71,2018,22
3,NO-TB (35%),15.18,2018,23
4,MIN-SEA,11.39,2018,24
5,JAX-TEN,10.76,2018,25
0,MIN-NE (90%),23.2,2018,26
1,NO-DAL,21.32,2018,27
2,LAC-PIT,17.83,2018,28
3,CHI-NYG (46%),14.22,2018,29
4,Various,13.89,2018,30
5,WSH-PHI,11.24,2018,31
0,WSH-DAL,30.48,2018,32
1,CHI-DET,26.5,2018,33
2,PIT-DEN (87%),23.66,2018,34
3,ATL-NO,21.73,2018,35
4,GB-MIN,20.44,2018,36
5,SEA-CAR (42%),14.56,2018,37
6,Various,13.8,2018,38
7,TEN-HOU,9.74,2018,39
0,MIN-CHI,18.84,2018,40
1,PHI-NO,18.38,2018,41
2,GB-SEA,16.83,2018,42
3,KC-LAR,16.61,2018,43
4,PIT-JAX (34%);DEN-LAC (34%),13.8,2018,44
5,DAL-ATL (71%),13.32,2018,45
0,SEA-LAR (76%),20.79,2018,46
1,DAL-PHI,20.1,2018,47
2,CAR-PIT,14.75,2018,48
3,NO-CIN (33%),14.24,2018,49
4,Various,11.77,2018,50
5,NYG-SF,10.5,2018,51
0,GB-NE,23.68,2018,52
1,LAR-NO,22.12,2018,53
2,Various,14.96,2018,54
3,ATL-WSH (61%),12.96,2018,55
4,TEN-DAL,11.79,2018,56
5,OAK-SF,11.06,2018,57
0,GB-LAR (94%),21.88,2018,58
1,Various,15.52,2018,59
2,NO-MIN,14.09,2018,60
3,MIA-HOU,12.05,2018,61
4,NE-BUF,10.85,2018,62
5,WSH-NYG (59%),10.38,2018,63
6,PHI-JAX,3.59,2018,64
0,DAL-WSH (80%),20.88,2018,65
1,CIN-KC,16.02,2018,66
2,CAR-PHI (45%),15.01,2018,67
3,Various,12.61,2018,68
4,NYG-ATL,10.33,2018,69
5,DEN-ARIZ,9.1,2018,70
6,TEN-LAC,5.8,2018,71
0,KC-NE,21.11,2018,72
1,DAL-JAX (85%),17.64,2018,73
2,CAR-WSH (34%),17.29,2018,74
3,PHI-NYG,14.7,2018,75
4,SF-GB,11.88,2018,76
5,Various,11.46,2018,77
0,MIN-PHI (82%),21.04,2018,78
1,DAL-HOU,18.59,2018,79
2,GB-DET (40%),13.66,2018,80
3,JAX-KC (41%),13.33,2018,81
4,IND-NE,13.22,2018,82
5,WSH-NO,10.51,2018,83
0,NO-NYG (74%),20.69,2018,84
1,DET-DAL (33%),18.01,2018,85
2,BAL-PIT,17.92,2018,86
3,Various,15.39,2018,87
4,MIN-LAR,14.45,2018,88
5,KC-DEN,13.21,2018,89
0,DAL-SEA (85%),22.2,2018,90
1,NE-DET,19.46,2018,91
2,SF-KC (24%),13.81,2018,92
3,PIT-TB,12.01,2018,93
4,Various,11.94,2018,94
5,NYJ-CLE,8.63,2018,95
0,NE-JAX (79%),20.97,2018,96
1,NYG-DAL,20.66,2018,97
2,MIN-GB (36%),17.62,2018,98
3,Various,12.67,2018,99
4,SEA-CHI,11.72,2018,100
5,BAL-CIN,7.02,2018,101
0,DAL-CAR (80%),23.3,2018,102
1,CHI-GB,22.12,2018,103
2,ATL-PHI,18.98,2018,104
3,HOU-NE (41%),17.08,2018,105
4,SF-MIN (41%),12.54,2018,106
5,NYJ-DET,10.34,2018,107
6,LAR-OAK,9.61,2018,108
