,Game,Viewers (in Millions),Year,id
0,ARIZ-DAL,26.79,2021,0
1,KC-CIN (45%),18.77,2021,1
2,MIN-GB,18.55,2021,2
3,LAR-BAL (55%),14.82,2021,3
4,CLE-PIT,13.26,2021,4
0,CLE-GB,28.59,2021,5
1,PIT-KC (90%),24.16,2021,6
2,WFT-DAL,17.28,2021,7
3,LAR-MIN (35%); NYG-PHI (27%),16.53,2021,8
4,BUF-NE (68%),14.97,2021,9
5,IND-AZ,12.62,2021,10
6,MIA-NO,12.31,2021,11
7,SF-TEN,7.9,2021,12
0,GB-BAL,22.01,2021,13
1,NO-TB,18.06,2021,14
2,KC-LAC,17.86,2021,15
3,MIN-CHI,15.84,2021,16
4,WSH-PHI (69%),14.9,2021,17
5,DAL-NYG (85%),14.06,2021,18
6,TEN-PIT (61%),12.92,2021,19
7,NE-IND,7.26,2021,20
8,DEN-CLE,5.86,2021,21
0,BUF-TB (84%),21.42,2021,22
1,CHI-GB,18.56,2021,23
2,SF-ARIZ,15.9,2021,24
3,DAL-WSH (58%),15.7,2021,25
4,PIT-MIN,14.04,2021,26
5,LV-KC (70%),12.16,2021,27
0,BAL-PIT (82%),21.11,2021,28
1,DEN-KC,17.51,2021,29
2,DAL-NO,16.69,2021,30
3,NE-BUF,14.91,2021,31
4,WFT-LV (34%); TB-ATL (23%); AZ-CHI (23%),13.82,2021,32
5,LAC-CIN (64%),12.75,2021,33
0,LV-DAL,37.84,2021,34
1,CHI-DET,26.75,2021,35
2,LAR-GB (91%),24.66,2021,36
3,BUF-NO,19.38,2021,37
4,CLE-BAL,16.23,2021,38
5,TB-IND (61%),15.07,2021,39
6,TEN-NE (52%),11.72,2021,40
7,SEA-WFT,10.89,2021,41
0,DAL-KC (93%),28.06,2021,42
1,GB-MIN (57%),17.28,2021,43
2,PIT-LAC,14.55,2021,44
3,NE-ATL,13.52,2021,45
4,Various,11.17,2021,46
5,NYG-TB,11.92,2021,47
0,SEA-GB (92%),22.71,2021,48
1,ATL-DAL (50%),17.58,2021,49
2,KC-LV,16.74,2021,50
3,BAL-MIA,12.92,2021,51
4,CLE-NE (64%),12.36,2021,52
5,LAR-SF,12.25,2021,53
0,GB-KC (93%),24.37,2021,54
1,DEN-DAL (57%),15.19,2021,55
2,TEN-LAR,14.21,2021,56
3,CLE-CIN (43%); LAC-PHI (28%),14.03,2021,57
4,NYJ-IND,11.65,2021,58
5,CHI-PIT,12.1,2021,59
0,TB-NO (92%),21.29,2021,60
1,GB-ARIZ,20.26,2021,61
2,PIT-CLE (46%); NE-LAC (28%),17.78,2021,62
3,DAL-MIN,15.68,2021,63
4,SF-CHI (42%); CAR-ATL (21%),11.65,2021,64
5,NYG-KC,13.92,2021,65
0,CHI-TB (90%),17.75,2021,66
1,IND-SF,16.11,2021,67
2,KC-TEN (72%),15.15,2021,68
3,WSH-GB (48%); PHI-LV (20%),15.74,2021,69
4,DEN-CLE,12.99,2021,70
5,NO-SEA,12.8,2021,71
0,DAL-NE (80%),23.22,2021,72
1,SEA-PIT,16.28,2021,73
2,KC-WFT (47%); LAC-BAL (46%),12.41,2021,74
3,TB-PHI,14.42,2021,75
4,MIA-JAX,7.0,2021,76
5,BUF-TEN,12.53,2021,77
0,DAL-NYG (88%),22.05,2021,78
1,BUF-KC,17.52,2021,79
2,GB-CIN (74%),16.45,2021,80
3,MIA-TB (30%); CHI-LV (25%),16.39,2021,81
4,LAR-SEA,14.76,2021,82
5,IND-BAL,11.33,2021,83
6,NYJ-ATL,3.28,2021,84
0,TB-NE,26.75,2021,85
1,PIT-GB (90%),22.29,2021,86
2,"CAR-DAL (38%), AZ-LAR (19%)",18.28,2021,87
3,KC-PHI (61%),17.35,2021,88
4,LV-LAC,12.86,2021,89
5,JAX-CIN,8.0,2021,90
0,TB-LAR (97%),22.6,2021,91
1,GB-SF,19.69,2021,92
2,"LAC-KC (37%), MIA-LV (20%)",14.33,2021,93
3,"CHI-CLE (46%), NO-NE (24%)",12.63,2021,94
4,CAR-HOU,7.39,2021,95
5,PHI-DAL,14.9,2021,96
0,DAL-LAC (91%),24.29,2021,97
1,KC-BAL,19.81,2021,98
2,"ATL-TB (25%), SF-PHI (22%), LAR-IND (17%)",18.47,2021,99
3,LV-PIT (65%),14.18,2021,100
4,DET-GB,13.81,2021,101
5,NYG-WFT,7.33,2021,102
0,DAL-TB,24.81,2021,103
1,CLE-KC (85%),19.54,2021,104
2,CHI-LAR,17.64,2021,105
3,GB-NO (84%),16.24,2021,106
4,BAL-LV,16.97,2021,107
5,PIT-BUF (55%),13.93,2021,108
6,PHI-ATL (50%),11.18,2021,109
