,Game,Viewers (in Millions),Year,id
0,CHI-GB (76%),23.01,2020,0
1,WSH-PHI,16.55,2020,1
2,DAL-NYG (85%),13.92,2020,2
3,AZ-LAR (73%),13.51,2020,3
4,PIT-CLE (71%),13.14,2020,4
0,LAR-SEA (69%),22.11,2020,5
1,MIN-NO,20.11,2020,6
2,TEN-GB,18.37,2020,7
3,IND-PIT (53%),15.7,2020,8
4,BUF-NE,14.45,2020,9
5,ATL-KC (63%),13.5,2020,10
6,MIA-LV,8.45,2020,11
7,TB-DET,6.07,2020,12
8,SF-ARIZ,4.8,2020,13
0,KC-NO,22.94,2020,14
1,CLE-NYG,15.61,2020,15
2,SF-DAL (50%),15.43,2020,16
3,SEA-WSH (29%);PHI-ARIZ (25%),15.21,2020,17
4,LAC-LV,12.96,2020,18
5,PIT-CIN,12.72,2020,19
6,CAR-GB,5.61,2020,20
7,BUF-DEN,4.53,2020,21
0,NO-PHI (54%);GB-DET (24%),22.52,2020,22
1,PIT-BUF,17.05,2020,23
2,KC-MIA (48%);IND-LV (16%),16.01,2020,24
3,NE-LAR,13.64,2020,25
4,BAL-CLE,12.42,2020,26
5,MIN-TB (45%);AZ-NYG (37%),12.28,2020,27
0,PHI-GB (86%),19.23,2020,28
1,DEN-KC,17.07,2020,29
2,NO-ATL (32%);LAR-ARIZ (26%);NYG-SEA (26%),15.23,2020,30
3,CLE-TEN (51%),14.57,2020,31
4,BUF-SF*,14.17,2020,32
5,DAL-BAL**,13.54,2020,33
6,WSH-PIT***,7.79,2020,34
0,WSH-DAL,30.33,2020,35
1,HOU-DET,23.39,2020,36
2,KC-TB,23.12,2020,37
3,CHI-GB,16.48,2020,38
4,ARIZ-NE (29%);NO-DEN (23%),15.17,2020,39
5,TEN-IND (42%);LV-ATL (22%),13.46,2020,40
6,SEA-PHI,11.38,2020,41
7,BAL-PIT,10.75,2020,42
0,GB-IND (83%),23.91,2020,43
1,KC-LV,19.57,2020,44
2,AZ-SEA,14.77,2020,45
3,TEN-BAL (39%); MIA-DEN (19%),14.69,2020,46
4,ATL-NO (48%),12.74,2020,47
5,LAR-TB,12.61,2020,48
0,SEA-LAR (34%);CIN-PIT (34%);NO-SF (31%),20.09,2020,49
1,TB-CAR (53%),18.24,2020,50
2,NE-BAL,15.79,2020,51
3,IND-TEN,12.16,2020,52
4,MIN-CHI,11.45,2020,53
5,BUF-ARIZ (67%),10.34,2020,54
0,PIT-DAL (93%),22.71,2020,55
1,NO-TB,16.88,2020,56
2,CAR-KC (35%);LV-LAC (24%),15.74,2020,57
3,GB-SF,13.17,2020,58
4,BAL-IND (68%),10.23,2020,59
5,NE-NYJ,10.22,2020,60
0,NO-CHI (76%),22.77,2020,61
1,PIT-BAL (48%);LAC-DEN (17%),18.65,2020,62
2,DAL-PHI,16.93,2020,63
3,MIN-GB (56%),12.31,2020,64
4,TB-NYG,11.7,2020,65
5,ATL-CAR,11.68,2020,66
0,SF-NE (50%);KC-DEN (41%),22.9,2020,67
1,TB-LV (31%);GB-HOU (30%),15.88,2020,68
2,PIT-TEN (87%),14.53,2020,69
3,SEA-ARIZ,14.31,2020,70
4,CHI-LAR,10.91,2020,71
5,NYG-PHI,10.07,2020,72
0,GB-TB,22.31,2020,73
1,Various,16.66,2020,74
2,LAR-SF,12.6,2020,75
3,KC-BUF (Mon.),12.16,2020,76
4,CHI-CAR (48%); WSH-NYG (20%),12.1,2020,77
5,ARIZ-DAL,11.32,2020,78
0,NYG-DAL (86%),22.87,2020,79
1,MIN-SEA,15.08,2020,80
2,TB-CHI,14.71,2020,81
3,LV-KC (78%),14.14,2020,82
4,PHI-PIT (45%),12.49,2020,83
5,BUF-TEN,10.8,2020,84
6,LAC-NO,10.69,2020,85
0,BUF-LV (75%),18.61,2020,86
1,CLE-DAL (36%); NYG-LAR (27%),16.85,2020,87
2,PHI-SF,15.08,2020,88
3,NE-KC (Mon.),14.6,2020,89
4,LAC-TB (76%),9.95,2020,90
5,ATL-GB,8.65,2020,91
6,DEN-NYJ,5.41,2020,92
0,DAL-SEA (72%),22.79,2020,93
1,GB-NO,17.8,2020,94
2,LV-NE (35%); HOU-PIT (17%),16.57,2020,95
3,KC-BAL,14.7,2020,96
4,CHI-ATL (36%); LAR-BUF (22%); WSH-CLE (22%),11.68,2020,97
5,MIA-JAX,5.43,2020,98
0,KC-LAC (73%),18.87,2020,99
1,NE-SEA,17.69,2020,100
2,ATL-DAL (23%); SF-NYJ (17%); WSH-AZ (17%),16.87,2020,101
3,NO-LV,15.59,2020,102
4,NYG-CHI (45%); DEN-PIT (41%),9.75,2020,103
5,CIN-CLE,6.68,2020,104
0,TB-NO (91%),25.85,2020,105
1,HOU-KC,20.54,2020,106
2,DAL-LAR,18.94,2020,107
3,MIA-NE (31%); LAC-CIN (24%),13.59,2020,108
4,GB-MIN (38%),13.53,2020,109
5,PIT-NYG,10.76,2020,110
6,TEN-DEN,7.7,2020,111
